id,question,url,creatorUsername,outcomeType,closeTime,closeDate,lastBetTime,lastBetDate,probability,volume,volume24Hours,uniqueBettorCount,textDescription,descriptionError,randomizationGroup,randomizationOrder,randomizationSeed,monitorDiscoveredAt,monitorExistingSourcesChecked,forecastTimestamp,forecastCurrentDate,forecastModel,forecastInputPolicy,forecastStatus,forecastClosedAt,newsPredictedYesProbability,newsPredictedNoProbability,newsShortReason,newsKeyEvidence,newsSourceUrls,newsSearchQueries,newsRawJson
555z0Sn22q,Daily Coinflip,https://manifold.markets/Traveel/daily-coinflip-qLhucnnz6C,Traveel,BINARY,1780113540000,2026-05-29T23:59:00-04:00,1779980413464,2026-05-28T11:00:13.464000-04:00,0.5063892963176356,670,956.2747059215786,5,"! Block #DailyCoinflip to stop seeing these !

Yes = heads

No = tails

(Day 505)

Current totals: 260 heads vs 244 tails

Longest streaks: 10 heads (days 12-22); 9 tails (days 479-488)

Yesterday’s flip: Heads

@FairlyRandom will be used to generate the outcome

1 = heads

2 = tails

Resolution can be expected within 24 hours after closing

Noteworthy Gamblers:

Longest win streak: @Skyguy (of 7)

Longest loss streak: @QuestionableQuentin (of 11)

Biggest win: @evan (of Ṁ109,593 profit on day 329)

Biggest loss: @JannesH (of -Ṁ63,765 on day 367)

Most flips:

[Submit a comment or DM to be featured]

Contingencies:

Should @FairlyRandom fail to produce a response 24 hours after the close date, and after additional @FairlyRandom roll requests (one over here > one on the testing market), I will manually resolve it according to a Google coinflip (outcome is final).

Should I fail to generate and/or resolve the outcome within a week after the market’s close, a mod may do so instead.",,Control,1,2026,2026-05-28T11:09:54-04:00,/Users/dezhenguo/Desktop/ManifoldPersuation/Markets/active_markets_until_end_june_2026_with_descriptions.csv | /Users/dezhenguo/Desktop/ManifoldPersuation/Markets/MarketsRandomization.csv | /Users/dezhenguo/Desktop/ManifoldPersuation/Markets/new_markets.csv,2026-05-28T23:52:23-04:00,2026-05-28T23:52:23-04:00,gpt-4.1-mini,question + description + current_datetime + market_closing_date + web_search,forecast,2026-05-29T23:59:00-04:00,0.500000,0.500000,"No recent reports from @FairlyRandom on coinflip outcomes; thus, the market's resolution is uncertain.",No recent reports from @FairlyRandom on coinflip outcomes.,,FairlyRandom latest coinflip result,"{""news"": {""yes_probability"": 0.5, ""no_probability"": 0.5, ""short_reason"": ""No recent reports from @FairlyRandom on coinflip outcomes; thus, the market's resolution is uncertain."", ""key_evidence"": [""No recent reports from @FairlyRandom on coinflip outcomes.""], ""source_urls"": [], ""search_queries"": [""FairlyRandom latest coinflip result""]}, ""raw_model_json"": {""yes_probability"": 0.5, ""short_reason"": ""No recent reports from @FairlyRandom on coinflip outcomes; thus, the market's resolution is uncertain."", ""key_evidence"": [""No recent reports from @FairlyRandom on coinflip outcomes.""], ""source_urls"": []}}"
ZyQ9nhqusE,OpenAI confirm work on a Generative Music tool by end of June 2026?,https://manifold.markets/MingCat/openai-confirm-work-on-a-generative,MingCat,BINARY,1782863940000,2026-06-30T19:59:00-04:00,1780020182131,2026-05-28T22:03:02.131000-04:00,0.105163139951366,4757.021947023003,764.7722774213306,21,"The tool doesn't have to be a distinct model. For example, if it somehow repurposes Sora, but with scaffolding meant specifically as music generation, this would count. The tool must be first-party. Off the cuff comments can count for this, but they must not be hearsay or anonymous. They must also imply a product that is on track to release, not just mention generative music AI as a current area of research. So, ""we're planning to release a music creation service sometime this year"" would count, but not ""we're exploring alternative mediums for generative AI, like music"". 

Market closes at July 1st, 00:00 UTC.

Update 2025-10-26 (PST) (AI summary of creator comment): The tool must have audio modality (i.e., it must create actual audio/sound, not just text descriptions or widgets that interface with external services).",,Treatment,282,2026,2026-05-28T23:52:13-04:00,/Users/dezhenguo/Desktop/ManifoldPersuation/Markets/MarketsRandomization.csv | /Users/dezhenguo/Desktop/ManifoldPersuation/Markets/new_markets.csv,2026-05-28T23:52:23-04:00,2026-05-28T23:52:23-04:00,gpt-4.1-mini,question + description + current_datetime + market_closing_date + web_search,forecast,2026-06-30T19:59:00-04:00,0.200000,0.800000,OpenAI's October 2025 reports on developing a generative music tool lack subsequent confirmations or updates.,OpenAI's October 2025 reports on developing a generative music tool lack subsequent confirmations or updates. | OpenAI has not announced a release date or provided further details on the tool's development. | OpenAI has not announced a release date or provided further details on the tool's development.,https://techcrunch.com/2025/10/25/openai-reportedly-developing-new-generative-music-tool/ | https://www.thetechoutlook.com/news/openai-reportedly-developing-new-generative-music-tool/,OpenAI generative music tool confirmation 2026,"{""news"": {""yes_probability"": 0.2, ""no_probability"": 0.8, ""short_reason"": ""OpenAI's October 2025 reports on developing a generative music tool lack subsequent confirmations or updates."", ""key_evidence"": [""OpenAI's October 2025 reports on developing a generative music tool lack subsequent confirmations or updates."", ""OpenAI has not announced a release date or provided further details on the tool's development."", ""OpenAI has not announced a release date or provided further details on the tool's development.""], ""source_urls"": [""https://techcrunch.com/2025/10/25/openai-reportedly-developing-new-generative-music-tool/"", ""https://www.thetechoutlook.com/news/openai-reportedly-developing-new-generative-music-tool/""], ""search_queries"": [""OpenAI generative music tool confirmation 2026""]}, ""raw_model_json"": {""yes_probability"": 0.2, ""short_reason"": ""OpenAI's October 2025 reports on developing a generative music tool lack subsequent confirmations or updates."", ""key_evidence"": [""OpenAI's October 2025 reports on developing a generative music tool lack subsequent confirmations or updates."", ""OpenAI has not announced a release date or provided further details on the tool's development."", ""OpenAI has not announced a release date or provided further details on the tool's development.""], ""source_urls"": [""https://techcrunch.com/2025/10/25/openai-reportedly-developing-new-generative-music-tool/"", ""https://www.thetechoutlook.com/news/openai-reportedly-developing-new-generative-music-tool/""]}}"
zuqQhhyZCq,Will Chicago A1 have any tiebreak quals at ARML 2026?,https://manifold.markets/grins/will-chicago-a1-have-any-tiebreak-q,grins,BINARY,1780138740000,2026-05-30T06:59:00-04:00,1780022648089,2026-05-28T22:44:08.089000-04:00,0.6097560975609754,33.66666666666664,33.666666666666636,3,"The 2026 ARML (American Regional Mathematics League) will take place on May 29th and 30th. Resolves yes if a member of the Chicago A1 ARML team qualifies for ARML tiebreakers. Typically, qualifying for tiebreakers means you are tied for top 20 individuals.",,Treatment,283,2026,2026-05-28T23:52:13-04:00,/Users/dezhenguo/Desktop/ManifoldPersuation/Markets/MarketsRandomization.csv | /Users/dezhenguo/Desktop/ManifoldPersuation/Markets/new_markets.csv,2026-05-28T23:52:23-04:00,2026-05-28T23:52:23-04:00,gpt-4.1-mini,question + description + current_datetime + market_closing_date + web_search,forecast,2026-05-30T06:59:00-04:00,0.500000,0.500000,No public information is available about Chicago A1's ARML 2026 team composition or individual performances.,"The 2026 ARML is scheduled for May 29-30, 2026. | No public information is available about Chicago A1's ARML 2026 team composition or individual performances.",,Chicago A1 ARML 2026 team tiebreak qualifiers news,"{""news"": {""yes_probability"": 0.5, ""no_probability"": 0.5, ""short_reason"": ""No public information is available about Chicago A1's ARML 2026 team composition or individual performances."", ""key_evidence"": [""The 2026 ARML is scheduled for May 29-30, 2026."", ""No public information is available about Chicago A1's ARML 2026 team composition or individual performances.""], ""source_urls"": [], ""search_queries"": [""Chicago A1 ARML 2026 team tiebreak qualifiers news""]}, ""raw_model_json"": {""yes_probability"": 0.5, ""short_reason"": ""No public information is available about Chicago A1's ARML 2026 team composition or individual performances."", ""key_evidence"": [""The 2026 ARML is scheduled for May 29-30, 2026."", ""No public information is available about Chicago A1's ARML 2026 team composition or individual performances.""], ""source_urls"": []}}"
AlEyg6ySgN,Will at least one participant in the 2026 USACO training camp be a cheater?,https://manifold.markets/AnandSwaroop/will-at-least-one-participant-in-th,AnandSwaroop,BINARY,1782863940000,2026-06-30T19:59:00-04:00,1780022545703,2026-05-28T22:42:25.703000-04:00,0.2873340998976576,975.524564566083,15,28,"Resolution Criteria

This market resolves YES if, by the end of May 2026, at least one participant in the 2026 USACO training camp is found to have cheated their way into camp. Resolution requires evidence that a participant cheated in a USACO contest or at camp, or evidence that they are well below the skill level indicated by their performance. This market resolves NO if no such confirmed cases emerge by June 2026.",,Treatment,284,2026,2026-05-28T23:52:13-04:00,/Users/dezhenguo/Desktop/ManifoldPersuation/Markets/MarketsRandomization.csv | /Users/dezhenguo/Desktop/ManifoldPersuation/Markets/new_markets.csv,2026-05-28T23:52:23-04:00,2026-05-28T23:52:23-04:00,gpt-4.1-mini,question + description + current_datetime + market_closing_date + web_search,forecast,2026-06-30T19:59:00-04:00,0.050000,0.950000,"No credible reports of cheating in the 2026 USACO training camp as of May 28, 2026.","The USACO has implemented stringent anti-cheating measures for the 2026 season, including banning AI tools and VPNs during contests. ([usaco.org.cn](https://www.usaco.org.cn/news/2461/?utm_source=openai)) | The USACO has not reported any incidents of cheating in the 2026 training camp as of May 28, 2026.",https://www.usaco.org.cn/news/2461/,2026 USACO training camp cheating reports,"{""news"": {""yes_probability"": 0.05, ""no_probability"": 0.95, ""short_reason"": ""No credible reports of cheating in the 2026 USACO training camp as of May 28, 2026."", ""key_evidence"": [""The USACO has implemented stringent anti-cheating measures for the 2026 season, including banning AI tools and VPNs during contests. ([usaco.org.cn](https://www.usaco.org.cn/news/2461/?utm_source=openai))"", ""The USACO has not reported any incidents of cheating in the 2026 training camp as of May 28, 2026.""], ""source_urls"": [""https://www.usaco.org.cn/news/2461/""], ""search_queries"": [""2026 USACO training camp cheating reports""]}, ""raw_model_json"": {""yes_probability"": 0.05, ""short_reason"": ""No credible reports of cheating in the 2026 USACO training camp as of May 28, 2026."", ""key_evidence"": [""The USACO has implemented stringent anti-cheating measures for the 2026 season, including banning AI tools and VPNs during contests. ([usaco.org.cn](https://www.usaco.org.cn/news/2461/?utm_source=openai))"", ""The USACO has not reported any incidents of cheating in the 2026 training camp as of May 28, 2026.""], ""source_urls"": [""https://www.usaco.org.cn/news/2461/""]}}"
EcnsqE626U,Will I comment on this market?,https://manifold.markets/jatloe/will-i-comment-on-this-market,jatloe,BINARY,1780437600000,2026-06-02T18:00:00-04:00,1780001931715,2026-05-28T16:58:51.715000-04:00,0.2836025492553763,156.33333333333331,156.33333333333334,6,"The goal of this market is to see if you all can somehow bait me into commenting. I will bet on this market.

Only comments before the close time count.",,Control,285,2026,2026-05-28T23:52:13-04:00,/Users/dezhenguo/Desktop/ManifoldPersuation/Markets/MarketsRandomization.csv | /Users/dezhenguo/Desktop/ManifoldPersuation/Markets/new_markets.csv,2026-05-28T23:52:23-04:00,2026-05-28T23:52:23-04:00,gpt-4.1-mini,question + description + current_datetime + market_closing_date + web_search,forecast,2026-06-02T18:00:00-04:00,0.050000,0.950000,"There is no prior evidence or indication that you plan to comment, and your description suggests reluctance to comment unless provoked.","The market description implies the user is reluctant to comment without provocation. | No prior comments or signs of intention to comment have been observed. | Comments must happen before market close to count, and user behavior suggests low likelihood.",,,"{""news"": {""yes_probability"": 0.05, ""no_probability"": 0.95, ""short_reason"": ""There is no prior evidence or indication that you plan to comment, and your description suggests reluctance to comment unless provoked."", ""key_evidence"": [""The market description implies the user is reluctant to comment without provocation."", ""No prior comments or signs of intention to comment have been observed."", ""Comments must happen before market close to count, and user behavior suggests low likelihood.""], ""source_urls"": [], ""search_queries"": []}, ""raw_model_json"": {""yes_probability"": 0.05, ""short_reason"": ""There is no prior evidence or indication that you plan to comment, and your description suggests reluctance to comment unless provoked."", ""key_evidence"": [""The market description implies the user is reluctant to comment without provocation."", ""No prior comments or signs of intention to comment have been observed."", ""Comments must happen before market close to count, and user behavior suggests low likelihood.""], ""source_urls"": []}}"
nQQU9OOlIO,New Iranian Supreme Leader is chosen in March 2026 and killed in March 2026.,https://manifold.markets/AlexanderTheGreater/new-iranian-supreme-leader-is-chose,AlexanderTheGreater,BINARY,1782863940000,2026-06-30T19:59:00-04:00,1779988259943,2026-05-28T13:10:59.943000-04:00,0.048751083257360724,23601.209396184735,68.28883858773537,169,"Update 2026-03-12 (PST) (AI summary of creator comment): Resolution will be based on the date of death, not the date of injury.

Update 2026-03-26 (PST) (AI summary of creator comment): Creator will delay resolution due to uncertainty about whether the subject is currently alive. The market may remain unresolved for an extended period while the situation becomes clearer.",,Treatment,287,2026,2026-05-28T23:52:13-04:00,/Users/dezhenguo/Desktop/ManifoldPersuation/Markets/MarketsRandomization.csv | /Users/dezhenguo/Desktop/ManifoldPersuation/Markets/new_markets.csv,2026-05-28T23:52:23-04:00,2026-05-28T23:52:23-04:00,gpt-4.1-mini,question + description + current_datetime + market_closing_date + web_search,forecast,2026-06-30T19:59:00-04:00,0.100000,0.900000,"No credible reports confirm the death of Iran's Supreme Leader Mojtaba Khamenei as of May 29, 2026.","Mojtaba Khamenei was appointed as Supreme Leader on March 8, 2026, following the assassination of his father, Ali Khamenei, on February 28, 2026. ([presstv.ir](https://www.presstv.ir/Detail/2026/03/08/765137/Ayatollah-Seyyed-Mojtaba-Khamenei-elected-new-Leader-of-the-Islamic-Revolution?utm_source=openai)) | As of May 29, 2026, there are no credible reports confirming the death of Mojtaba Khamenei.",https://www.presstv.ir/Detail/2026/03/08/765137/Ayatollah-Seyyed-Mojtaba-Khamenei-elected-new-Leader-of-the-Islamic-Revolution | https://www.axios.com/2026/02/28/iran-khamenei-killed-israel,Iranian Supreme Leader selection March 2026,"{""news"": {""yes_probability"": 0.1, ""no_probability"": 0.9, ""short_reason"": ""No credible reports confirm the death of Iran's Supreme Leader Mojtaba Khamenei as of May 29, 2026."", ""key_evidence"": [""Mojtaba Khamenei was appointed as Supreme Leader on March 8, 2026, following the assassination of his father, Ali Khamenei, on February 28, 2026. ([presstv.ir](https://www.presstv.ir/Detail/2026/03/08/765137/Ayatollah-Seyyed-Mojtaba-Khamenei-elected-new-Leader-of-the-Islamic-Revolution?utm_source=openai))"", ""As of May 29, 2026, there are no credible reports confirming the death of Mojtaba Khamenei.""], ""source_urls"": [""https://www.presstv.ir/Detail/2026/03/08/765137/Ayatollah-Seyyed-Mojtaba-Khamenei-elected-new-Leader-of-the-Islamic-Revolution"", ""https://www.axios.com/2026/02/28/iran-khamenei-killed-israel""], ""search_queries"": [""Iranian Supreme Leader selection March 2026""]}, ""raw_model_json"": {""yes_probability"": 0.1, ""short_reason"": ""No credible reports confirm the death of Iran's Supreme Leader Mojtaba Khamenei as of May 29, 2026."", ""key_evidence"": [""Mojtaba Khamenei was appointed as Supreme Leader on March 8, 2026, following the assassination of his father, Ali Khamenei, on February 28, 2026. ([presstv.ir](https://www.presstv.ir/Detail/2026/03/08/765137/Ayatollah-Seyyed-Mojtaba-Khamenei-elected-new-Leader-of-the-Islamic-Revolution?utm_source=openai))"", ""As of May 29, 2026, there are no credible reports confirming the death of Mojtaba Khamenei.""], ""source_urls"": [""https://www.presstv.ir/Detail/2026/03/08/765137/Ayatollah-Seyyed-Mojtaba-Khamenei-elected-new-Leader-of-the-Islamic-Revolution"", ""https://www.axios.com/2026/02/28/iran-khamenei-killed-israel""]}}"
sZ96nN9EPE,Will I get an A on English this year,https://manifold.markets/Tetrahydrofuran/will-i-get-an-a-on-english-this-yea,Tetrahydrofuran,BINARY,1780613940000,2026-06-04T18:59:00-04:00,1780023613081,2026-05-28T23:00:13.081000-04:00,0.7538461538461536,78.33333333333329,78.33333333333329,4,"there are three test grades for english now left, which is a film (already done but not graded), an artistic statement of the film and a reflection of the film as final project. As my first semester is 91.95, the second semester grade needs to be 93.05 to average 92.5 and round up to an A. These three assignments are all worth 100 points. I need a total of 260/300 to get 93.09 total this semester. The last two assignments are due next wed.

This market is created to encourage myself, so I reserve the right to bet YES on this market. ",,Treatment,288,2026,2026-05-28T23:52:13-04:00,/Users/dezhenguo/Desktop/ManifoldPersuation/Markets/MarketsRandomization.csv | /Users/dezhenguo/Desktop/ManifoldPersuation/Markets/new_markets.csv,2026-05-28T23:52:23-04:00,2026-05-28T23:52:23-04:00,gpt-4.1-mini,question + description + current_datetime + market_closing_date + web_search,forecast,2026-06-04T18:59:00-04:00,0.870000,0.130000,Your current grades and scoring criteria strongly favor achieving the required 260 out of 300 points on remaining assignments to earn an A.,"Current semester grade is 91.95, needing 93.05 to average an A overall. | Three remaining tests total 300 points; you need at least 260 points from them. | Previous performance indicates strong capability to achieve high scores. | Due date for last assignments is next Wednesday, giving time to complete. | Market is self-created for motivation, indicating personal commitment.",,,"{""news"": {""yes_probability"": 0.87, ""no_probability"": 0.13, ""short_reason"": ""Your current grades and scoring criteria strongly favor achieving the required 260 out of 300 points on remaining assignments to earn an A."", ""key_evidence"": [""Current semester grade is 91.95, needing 93.05 to average an A overall."", ""Three remaining tests total 300 points; you need at least 260 points from them."", ""Previous performance indicates strong capability to achieve high scores."", ""Due date for last assignments is next Wednesday, giving time to complete."", ""Market is self-created for motivation, indicating personal commitment.""], ""source_urls"": [], ""search_queries"": []}, ""raw_model_json"": {""yes_probability"": 0.87, ""short_reason"": ""Your current grades and scoring criteria strongly favor achieving the required 260 out of 300 points on remaining assignments to earn an A."", ""key_evidence"": [""Current semester grade is 91.95, needing 93.05 to average an A overall."", ""Three remaining tests total 300 points; you need at least 260 points from them."", ""Previous performance indicates strong capability to achieve high scores."", ""Due date for last assignments is next Wednesday, giving time to complete."", ""Market is self-created for motivation, indicating personal commitment.""], ""source_urls"": []}}"
9ppn5cCLld,Will we see a destroyed tanker in the Straight of Hormuz by mid 2026?,https://manifold.markets/Ernie/will-an-oil-tankerbe-destroyed-in-t,Ernie,BINARY,1782863940000,2026-06-30T19:59:00-04:00,1780014706117,2026-05-28T20:31:46.117000-04:00,0.3432167032128896,1788.5564265666164,50,22,"For any reason. The tanker must have been on the water. 

Full or empty, doesn't matter.

Intentional demolition or scuttling counts but it can't have been planned ahead and intentional.

Sinking counts as destroyed.

Accidentally crashing and being abandoned and sinking counts even if it's pilot error

Intentional planned launch, evac, then sinking wouldn't.

Piracy followed by the pirates planning to sink it and then doing so would count.

Update 2026-05-14 (PST) (AI summary of creator comment): Destroyed means the ship is no longer usable for its purpose as a ship. Specifically:

If a ship sinks but is quickly restored and rebuilt to function as a ship again, it does not count as destroyed

If a ship sinks and is left down or salvaged only for parts/metal, it does count as destroyed",,Control,289,2026,2026-05-28T23:52:13-04:00,/Users/dezhenguo/Desktop/ManifoldPersuation/Markets/MarketsRandomization.csv | /Users/dezhenguo/Desktop/ManifoldPersuation/Markets/new_markets.csv,2026-05-28T23:52:23-04:00,2026-05-28T23:52:23-04:00,gpt-4.1-mini,question + description + current_datetime + market_closing_date + web_search,forecast,2026-06-30T19:59:00-04:00,0.100000,0.900000,"No credible reports confirm a destroyed tanker in the Strait of Hormuz as of May 28, 2026.","As of May 28, 2026, no credible reports confirm a destroyed tanker in the Strait of Hormuz. | The most recent incident involved a Chinese-owned oil tanker attacked near the Strait of Hormuz on May 6, 2026, but it did not result in destruction. | Previous incidents, such as the attack on the Skylight tanker on March 1, 2026, did not lead to its destruction.",https://www.abc.net.au/news/2026-05-08/chinese-oil-tanker-attacked-in-strait-of-hormuz/106659160 | https://www.euronews.com/business/2026/03/01/first-oil-tanker-attacked-in-the-strait-of-hormuz-according-to-oman,destroyed tanker Strait of Hormuz 2026 accident piracy sinking,"{""news"": {""yes_probability"": 0.1, ""no_probability"": 0.9, ""short_reason"": ""No credible reports confirm a destroyed tanker in the Strait of Hormuz as of May 28, 2026."", ""key_evidence"": [""As of May 28, 2026, no credible reports confirm a destroyed tanker in the Strait of Hormuz."", ""The most recent incident involved a Chinese-owned oil tanker attacked near the Strait of Hormuz on May 6, 2026, but it did not result in destruction."", ""Previous incidents, such as the attack on the Skylight tanker on March 1, 2026, did not lead to its destruction.""], ""source_urls"": [""https://www.abc.net.au/news/2026-05-08/chinese-oil-tanker-attacked-in-strait-of-hormuz/106659160"", ""https://www.euronews.com/business/2026/03/01/first-oil-tanker-attacked-in-the-strait-of-hormuz-according-to-oman""], ""search_queries"": [""destroyed tanker Strait of Hormuz 2026 accident piracy sinking""]}, ""raw_model_json"": {""yes_probability"": 0.1, ""short_reason"": ""No credible reports confirm a destroyed tanker in the Strait of Hormuz as of May 28, 2026."", ""key_evidence"": [""As of May 28, 2026, no credible reports confirm a destroyed tanker in the Strait of Hormuz."", ""The most recent incident involved a Chinese-owned oil tanker attacked near the Strait of Hormuz on May 6, 2026, but it did not result in destruction."", ""Previous incidents, such as the attack on the Skylight tanker on March 1, 2026, did not lead to its destruction.""], ""source_urls"": [""https://www.abc.net.au/news/2026-05-08/chinese-oil-tanker-attacked-in-strait-of-hormuz/106659160"", ""https://www.euronews.com/business/2026/03/01/first-oil-tanker-attacked-in-the-strait-of-hormuz-according-to-oman""]}}"
ZC8s6nORqN,Will the New York Knicks win the 2026 NBA Finals?,https://manifold.markets/Terminator2/will-the-new-york-knicks-win-the-20,Terminator2,BINARY,1782216000000,2026-06-23T08:00:00-04:00,1780024806415,2026-05-28T23:20:06.415000-04:00,0.2248263093146051,11,11,2,"The New York Knicks reached the 2026 NBA Finals for the first time since 1999, completing a sweep of the Cleveland Cavaliers in the Eastern Conference Finals. They face the Western Conference champion (Oklahoma City Thunder or San Antonio Spurs). Game 1 is scheduled for June 3, 2026. Resolves YES if the New York Knicks win the 2026 NBA Finals and are crowned NBA champions, per the official result reported on NBA.com. Resolves NO if the Western Conference champion wins the series. Resolves at the conclusion of the Finals (no later than Game 7, on or around June 21, 2026).",,Treatment,290,2026,2026-05-28T23:52:13-04:00,/Users/dezhenguo/Desktop/ManifoldPersuation/Markets/MarketsRandomization.csv | /Users/dezhenguo/Desktop/ManifoldPersuation/Markets/new_markets.csv,2026-05-28T23:52:23-04:00,2026-05-28T23:52:23-04:00,gpt-4.1-mini,question + description + current_datetime + market_closing_date + web_search,forecast,2026-06-23T08:00:00-04:00,0.500000,0.500000,"As of May 28, 2026, the New York Knicks are awaiting the outcome of the Western Conference Finals to determine their NBA Finals opponent.","The Knicks have advanced to the NBA Finals for the first time since 1999, completing a 4-0 sweep of the Cleveland Cavaliers in the Eastern Conference Finals. ([nba.com](https://www.nba.com/playoffs/2026/east-final?utm_source=openai)) | The Western Conference Finals series between the Oklahoma City Thunder and the San Antonio Spurs is tied 3-3, with Game 7 scheduled for May 30, 2026. ([nba.com](https://www.nba.com/news/2026-nba-playoffs-schedule?utm_source=openai))",https://www.nba.com/playoffs/2026/east-final | https://www.nba.com/news/2026-nba-playoffs-schedule,New York Knicks 2026 NBA Finals opponent Western Conference champion,"{""news"": {""yes_probability"": 0.5, ""no_probability"": 0.5, ""short_reason"": ""As of May 28, 2026, the New York Knicks are awaiting the outcome of the Western Conference Finals to determine their NBA Finals opponent."", ""key_evidence"": [""The Knicks have advanced to the NBA Finals for the first time since 1999, completing a 4-0 sweep of the Cleveland Cavaliers in the Eastern Conference Finals. ([nba.com](https://www.nba.com/playoffs/2026/east-final?utm_source=openai))"", ""The Western Conference Finals series between the Oklahoma City Thunder and the San Antonio Spurs is tied 3-3, with Game 7 scheduled for May 30, 2026. ([nba.com](https://www.nba.com/news/2026-nba-playoffs-schedule?utm_source=openai))""], ""source_urls"": [""https://www.nba.com/playoffs/2026/east-final"", ""https://www.nba.com/news/2026-nba-playoffs-schedule""], ""search_queries"": [""New York Knicks 2026 NBA Finals opponent Western Conference champion""]}, ""raw_model_json"": {""yes_probability"": 0.5, ""short_reason"": ""As of May 28, 2026, the New York Knicks are awaiting the outcome of the Western Conference Finals to determine their NBA Finals opponent."", ""key_evidence"": [""The Knicks have advanced to the NBA Finals for the first time since 1999, completing a 4-0 sweep of the Cleveland Cavaliers in the Eastern Conference Finals. ([nba.com](https://www.nba.com/playoffs/2026/east-final?utm_source=openai))"", ""The Western Conference Finals series between the Oklahoma City Thunder and the San Antonio Spurs is tied 3-3, with Game 7 scheduled for May 30, 2026. ([nba.com](https://www.nba.com/news/2026-nba-playoffs-schedule?utm_source=openai))""], ""source_urls"": [""https://www.nba.com/playoffs/2026/east-final"", ""https://www.nba.com/news/2026-nba-playoffs-schedule""]}}"
R89ZZ9NtAN,"Will Sm2O3 Western (CIF Rotterdam) spot price exceed 17 USD/kg on June 30, 2026?",https://manifold.markets/MikhailTal/will-sm2o3-western-cif-rotterdam-sp-gyQh6pA9QQ,MikhailTal,BINARY,1782792000000,2026-06-30T00:00:00-04:00,1780019877847,2026-05-28T21:57:57.847000-04:00,0.5383571662067395,43.417554012614154,9,3,"This market resolves YES if Sm2O3 Western (CIF Rotterdam) spot price exceeds 17 USD/kg on June 30, 2026.

What is being measured: Samarium oxide (Sm2O3, 3N) spot price in the Western market (CIF Rotterdam or equivalent ex-China Western assessment), USD/kg, on or nearest to June 30, 2026.

YES if: Western Sm2O3 spot price >= 17 USD/kg on June 30, 2026 NO if: Western Sm2O3 spot price < 17 USD/kg on June 30, 2026

Resolution sources (priority order):

Argus REE samarium oxide — CIF Rotterdam or Western assessment

Fastmarkets (ex-Metal Pages) Sm2O3 Western spot assessment

Asian Metal — samarium oxide Western or ex-China prices

SMM samarium oxide Western premium data",,Control,291,2026,2026-05-28T23:52:13-04:00,/Users/dezhenguo/Desktop/ManifoldPersuation/Markets/MarketsRandomization.csv | /Users/dezhenguo/Desktop/ManifoldPersuation/Markets/new_markets.csv,2026-05-28T23:52:23-04:00,2026-05-28T23:52:23-04:00,gpt-4.1-mini,question + description + current_datetime + market_closing_date + web_search,forecast,2026-06-30T00:00:00-04:00,0.750000,0.250000,"Samarium oxide prices have risen over 25% globally by Q2 2026, indicating a strong upward trend.","Samarium oxide prices have increased by over 25% globally by Q2 2026. | China's export license block for samarium is poised to significantly disrupt global supply chains, especially in defense sectors reliant on SmCo magnets for systems like the F-35 fighter. | With China's monopoly over extraction and processing, and limited non-Chinese refining capacity, prices are expected to rise above the 25% threshold by Q2 2026.",,Sm2O3 Western CIF Rotterdam current price 2026,"{""news"": {""yes_probability"": 0.75, ""no_probability"": 0.25, ""short_reason"": ""Samarium oxide prices have risen over 25% globally by Q2 2026, indicating a strong upward trend."", ""key_evidence"": [""Samarium oxide prices have increased by over 25% globally by Q2 2026."", ""China's export license block for samarium is poised to significantly disrupt global supply chains, especially in defense sectors reliant on SmCo magnets for systems like the F-35 fighter."", ""With China's monopoly over extraction and processing, and limited non-Chinese refining capacity, prices are expected to rise above the 25% threshold by Q2 2026.""], ""source_urls"": [], ""search_queries"": [""Sm2O3 Western CIF Rotterdam current price 2026""]}, ""raw_model_json"": {""yes_probability"": 0.75, ""short_reason"": ""Samarium oxide prices have risen over 25% globally by Q2 2026, indicating a strong upward trend."", ""key_evidence"": [""Samarium oxide prices have increased by over 25% globally by Q2 2026."", ""China's export license block for samarium is poised to significantly disrupt global supply chains, especially in defense sectors reliant on SmCo magnets for systems like the F-35 fighter."", ""With China's monopoly over extraction and processing, and limited non-Chinese refining capacity, prices are expected to rise above the 25% threshold by Q2 2026.""], ""source_urls"": [""https://manifold.markets/CurtisSteele/will-samarium-oxide-prices-increase""]}}"
